feature,importance
batchDurationMs,3.418447151846978
keystroke_timing_regularity,3.225808609370648
mouseAvgVelocity,1.7373592967311522
clickToMoveRatio,1.5479278651926878
keyInterKeyDelayStdMs,1.1757139773235703
keyToMoveRatio,1.144663519638716
session_phase_consistency,1.0293889597782924
clickRatePerSec,1.006258516555196
mouse_acceleration_variance,0.8666842622432025
keyEntropy,0.7974427802014521
keyRatePerSec,0.7542233346110441
mouseHoverFrequency,0.7124489643340549
typing_rhythm_autocorrelation,0.5345865535354626
mouseMaxVelocity,0.5237396280487241
mouseAngularVelocityStd,0.5182343874435439
eventRatePerSec,0.4971558529995709
clickIntervalMaxMs,0.43204703989929105
keyCount,0.40549012618155106
clickIntervalMeanMs,0.332847455681146
mousePathEfficiency,0.28538810972691325
keyInterKeyDelayMeanMs,0.24984273013928857
clickIntervalStdMs,0.22959321182470088
keyRapidPresses,0.2145526081002844
mouseMoveCount,0.19237714505441178
mouseStdVelocity,0.13953624590219454
batch_event_count,0.13231077585305875
clickIntervalMinMs,0.11993000149091237
mouse_keystroke_correlation,0.0923254209056952
mouseHoverTimeRatio,0.041173920062889724
mouseAvgPauseDurationMs,0.030131339538429416
