feature,importance
eventRatePerSec,0.19743624047281508
batchDurationMs,0.12646117779429805
keyCount,0.11638303545651539
keyInterKeyDelayStdMs,0.07147981648000824
keyRatePerSec,0.06193891869240784
session_phase_consistency,0.06164597736107653
keystroke_timing_regularity,0.05993637885233193
mousePathEfficiency,0.053251576301429564
keyToMoveRatio,0.04906896298850274
keyInterKeyDelayMeanMs,0.0417126777196368
clickRatePerSec,0.03519876159315883
mouseMaxVelocity,0.02360661146160365
mouseStdVelocity,0.018165091791601622
clickIntervalMaxMs,0.017317653586540818
mouseAngularVelocityStd,0.015568115487672767
keyEntropy,0.015277908353912401
mouse_keystroke_correlation,0.00801138327219591
clickIntervalMeanMs,0.007478382478996899
mouseHoverTimeRatio,0.005336283426951872
typing_rhythm_autocorrelation,0.005089570649615115
clickIntervalMinMs,0.0030178990319007174
clickIntervalStdMs,0.002519955405337644
clickToMoveRatio,0.0021388191696880875
mouseAvgVelocity,0.0015255903114156299
keyRapidPresses,0.00023077279582632549
mouse_acceleration_variance,0.00019398993022905824
batch_event_count,8.449134330491903e-06
mouseMoveCount,0.0
mouseHoverFrequency,0.0
mouseAvgPauseDurationMs,0.0
is_headless_browser,0.0
is_known_bot_ua,0.0
is_datacenter_ip,0.0
ua_entropy,0.0
has_accept_language,0.0
accept_language_count,0.0
suspicious_header_count,0.0
