feature,importance
batchDurationMs,0.1487645076569187
keyRatePerSec,0.10369723364168364
clickRatePerSec,0.09341958304294148
mousePathEfficiency,0.07453583730459376
mouseStdVelocity,0.05891227817188097
eventRatePerSec,0.05234320113483888
clickClusteringRatio,0.04772294841453533
clickIntervalMaxMs,0.041899965652892675
mouseAngularVelocityStd,0.04121880007433057
keyInterKeyDelayMeanMs,0.04020848020245249
clickIntervalMeanMs,0.03848322621060379
mouseMaxVelocity,0.0383089375221043
mouseHoverFrequency,0.03653173365426577
clickIntervalMinMs,0.03299383307770078
mouseHoverTimeRatio,0.03005295667714967
clickIntervalStdMs,0.021821359093705462
mouseAvgVelocity,0.019459917377705534
keyRapidPresses,0.016092550068312467
batch_event_count,0.012005156292105731
keyInterKeyDelayStd,0.010302988173431171
keyToMoveRatio,0.00974642246983953
keyCount,0.009380875394882608
keyEntropy,0.005549043053886582
clickToMoveRatio,0.005052567951194943
has_keys,0.0043265465638656665
clickLeftRatio,0.0038218273703679805
clickCount,0.0020819772902869725
mouseMoveCount,0.0007622789206161554
has_clicks,0.0003752819759711138
signalDiversityEntropy,0.00012768556493523514
has_mouse_moves,0.0
mouseAvgPauseDurationMs,0.0
mousePauseCount,0.0
keyInterKeyDelayStdMs,0.0
