feature,importance
keyInterKeyDelayStdMs,0.7779456
batchDurationMs,0.055373598
mouseHoverTimeRatio,0.039593525
eventRatePerSec,0.036499627
keyCount,0.022963243
clickIntervalStdMs,0.014853429
mouseAvgVelocity,0.010014516
keyRatePerSec,0.00783756
mouseMaxVelocity,0.0068820487
mousePathEfficiency,0.0053348173
mouseAngularVelocityStd,0.004586062
clickIntervalMaxMs,0.0039833323
keyRapidPresses,0.0032190713
keyEntropy,0.002761654
batch_event_count,0.002682333
mouseHoverFrequency,0.0023877851
clickToMoveRatio,0.0011539997
keyToMoveRatio,0.0010320371
mouseMoveCount,0.00055139343
keyInterKeyDelayMeanMs,0.00034430609
clickRatePerSec,0.0
clickIntervalMeanMs,0.0
mouseAvgPauseDurationMs,0.0
mouseStdVelocity,0.0
clickIntervalMinMs,0.0
